anime_id,anime_title,anime_english_title,anime_japanese_title,anime_synonyms
28851,Koe no Katachi (A Silent Voice),A Silent Voice,聲の形,"The Shape of Voice, A Silent Voice: The Movie"
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,,劇場版 銀魂 完結篇 万事屋よ永遠なれ,"Gintama: The Final Chapter - Be Forever Yorozuya, Gintama Movie 2"
15417,Gintama': Enchousen (Gintama: Enchousen),Gintama: Enchousen,銀魂' 延長戦,"Gintama' (2012), Gintama' Overdrive, Kintama"
35180,3-gatsu no Lion 2nd Season (March Comes In Like A Lion 2nd Season),March Comes In Like A Lion 2nd Season,3月のライオン 第2シリーズ,Sangatsu no Lion Second Season
11061,Hunter x Hunter (2011) (Hunter x Hunter),Hunter x Hunter,HUNTER×HUNTER ハンターハンター,HxH (2011)
9969,Gintama' (Gintama Season 2),Gintama Season 2,銀魂',Gintama (2011)
820,Ginga Eiyuu Densetsu (Legend of the Galactic Heroes),Legend of the Galactic Heroes,銀河英雄伝説,"LoGH, LotGH, Gin'eiden, GinEiDen, Heldensagen Vom Kosmosinsel"
9253,Steins;Gate,Steins;Gate,シュタインズ・ゲート,シュタゲ
28977,Gintama° (Gintama Season 4),Gintama Season 4,銀魂°,Gintama' (2015)
30484,Steins;Gate 0,,シュタインズ・ゲート ゼロ,"Steins,Gate Zero"
32281,Kimi no Na wa. (Your Name.),Your Name.,君の名は。,
anime_id,anime_title,anime_english_title,anime_japanese_title,anime_synonyms
17265,Log Horizon,Log Horizon,ログ・ホライズン,
6045,Kimi ni Todoke (Kimi ni Todoke: From Me to You),Kimi ni Todoke: From Me to You,君に届け,Reaching You
12477,Sakasama no Patema (Patema Inverted),Patema Inverted,サカサマのパテマ,Sakasama no Patema
9130,Saint Seiya: The Lost Canvas - Meiou Shinwa 2,Saint Seiya: The Lost Canvas 2,聖闘士星矢 THE LOST CANVAS 冥王神話 2,
1506,Detective Conan Movie 10: Requiem of the Detectives,,名探偵コナン　探偵たちの鎮魂歌[レクイエム],"Meitantei Conan: Tantei-tachi no Requiem, The Private Eyes' Requiem"
22297,Fate/stay night: Unlimited Blade Works,Fate/stay night [Unlimited Blade Works],Fate/stay night [Unlimited Blade Works],"Fate/stay night (2014), Fate - Stay Night"
9260,Kizumonogatari I: Tekketsu-hen (Kizumonogatari Part 1: Tekketsu),Kizumonogatari Part 1: Tekketsu,傷物語〈Ⅰ鉄血篇〉,Koyomi Vamp
32182,Mob Psycho 100,Mob Psycho 100,モブサイコ100,"Mob Psycho Hyaku, Mob Psycho One Hundred"
17389,Kingdom 2nd Season (Kingdom: Season 2),Kingdom: Season 2,キングダム 第2シリーズ,"Kingdom Hisho Hen, Kingdom: Dai 2 Series"
6116,Mainichi Kaasan (Kaasan: Mom's Life),Kaasan: Mom's Life,毎日かあさん,"Mainichi Kaa-san, Every Day Mom"
31418,KanColle Movie (Fleet Girls Collection KanColle Movie Sequence),Fleet Girls Collection KanColle Movie Sequence,劇場版 艦これ,"Kankore Movie, Gekijouban Kantai Collection"
12487,Kyoukaisenjou no Horizon II (Horizon in the Middle of Nowhere II),Horizon in the Middle of Nowhere II,境界線上のホライゾンII,"Horizon on the Middle of Nowhere II, Kyoukai Senjou no Horizon 2"
452,InuYasha: Toki wo Koeru Omoi,InuYasha the Movie: Affections Touching Across Time,犬夜叉 時代を越える想い,"Inu Yasha: Toki wo Koeru Omoi, InuYasha: Love That Transcends Time"
32681,Uchuu Patrol Luluco (Space Patrol Luluco),Space Patrol Luluco,宇宙パトロールルル子,
16011,Tokyo Ravens,Tokyo Ravens,東京レイヴンズ,
17249,Pretty Rhythm: Rainbow Live,,プリティーリズム・レインボーライブ,
464,One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima,One Piece: Baron Omatsuri and the Secret Island,ワンピース オマツリ男爵と秘密の島,
7592,Nurarihyon no Mago (Nura: Rise of the Yokai Clan),Nura: Rise of the Yokai Clan,ぬらりひょんの孫,"The Grandson of Nurarihyon, Grandchild of Nurarihyon"
31953,New Game!,New Game!,NEW GAME!,
20785,Mahouka Koukou no Rettousei (The Irregular at Magic High School),The Irregular at Magic High School,魔法科高校の劣等生,
1418,"Lupin III: Episode 0 ""First Contact""",Lupin III Episode 0: The First Contact,ルパン三世ＥＰＩＳＯＤＥ：０（ゼロ） 『ファーストコンタクト』,Rupan Sansei Episode: 0 'First Contact'
2593,Kara no Kyoukai 1: Fukan Fuukei,the Garden of sinners Chapter 1: Overlooking View,劇場版 空の境界 the Garden of sinners 第一章『俯瞰風景』,"Kara no Kyoukai: The Garden of Sinners Movie 1, Borderline of Emptiness: Overlooking View, The Garden of Sinners: Thanatos"
255,Jungle wa Itsumo Hare nochi Guu Final,,ジャングルはいつもハレのちグゥ　ＦＩＮＡＬ,"Jungle wa Itsumo Haré nochi Guu Final, Jungle wa Itsumo Hale Nochi Guu Final, Haré+Guu Final, Hare+Guu Final"
228,Jigoku Shoujo (Hell Girl),Hell Girl,地獄少女,Jigoku Shojo
450,InuYasha: Kagami no Naka no Mugenjo,InuYasha the Movie 2: The Castle Beyond the Looking Glass,犬夜叉 鏡の中の夢幻城,Inu Yasha: Kagami no Naka no Mugenjo
160,"Ima, Soko ni Iru Boku (Now and Then, Here and There)","Now and Then, Here and There",今、そこにいる僕,"Ima, Soko ni Iru Boku"
33446,Huyao Xiao Hongniang: Yue Hong,,狐妖小红娘 月红,"Fox Spirit Matchmaker 3rd Season, Little Foxspirit Matchmaker Season 3, Enmusubi no Youko-chan"
